ticker,company,sector_name,sector_code,year,quarter,avg_return,avg_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
F,Ford Motor,Motor Vehicles & Parts,MOTO,2025,4,0.0343175693317197,1.2120880484791126,0,0,1.226673257865547e-17,2.0,-0.012524640475883456,1,0
FDX,FedEx,"Mail, Package and Freight Delivery",MAIL,2025,4,0.47692471729837815,1.273564642184948,0,0,-2.513993380675017e-17,1.0,0.42295068185251095,1,0
FMCC,Freddie Mac,Diversified Financials,DIVE,2025,4,-0.5677392529374867,4.458233345837564,0,0,0.0,3.0,-0.40232973302746666,0,0
FNMA,Fannie Mae,Diversified Financials,DIVE,2025,4,-0.6565423234863241,4.78206466958254,0,0,-2.3487214946925925e-17,4.0,-0.40232973302746666,0,0
GD,General Dynamics,Aerospace & Defense,AERO,2025,4,-0.1621657156003934,0.9253627119667317,0,0,1.1474501961344206e-17,2.0,-0.3848595988871921,1,0
GM,General Motors,Motor Vehicles & Parts,MOTO,2025,4,0.2314234999015543,1.2701320321751155,0,0,-2.4361971753450135e-17,1.0,-0.012524640475883456,1,0
GOOGL,Alphabet,Internet Services and Retailing,INTE,2025,4,0.8618368675289293,1.7618871264504234,0,0,-6.2565226613465e-17,1.0,0.08309295972087101,1,0
GSBD,Goldman Sachs,Commercial Banks,COMM,2025,4,-0.11338785364104426,0.838916597410111,0,0,-3.7549992026003116e-17,6.0,-0.031242095659145003,0,0
HCA,HCA Healthcare,Health Care: Medical Facilities,HEAL,2025,4,0.4560761557279214,1.0815741641423544,0,0,5.3836705853108257e-17,1.0,0.4560761557279214,0,0
HD,Home Depot,Specialty Retailers: Other,SPEC,2025,4,-0.4030109731725087,1.170446173941931,0,0,-4.202374723315468e-17,2.0,-0.20067695415760775,0,0
HP,HP,"Computers, Office Equipment",COMP,2025,4,0.44665703577596233,2.2631045926424784,0,0,0.0,1.0,-0.16715642953394952,1,0
HUM.ST,Humana,Health Care: Insurance and Managed Care,HEAL,2025,4,0.016063500295905794,1.087387992556715,0,0,-1.7976396646197748e-17,2.0,0.08985936279496157,0,0
IBM,IBM,Information Technology Services,INFO,2025,4,-0.08815971137167328,1.1874650073081254,0,0,-2.4597513948469746e-17,1.0,-0.08815971137167328,0,0
INGM,Ingram Micro,Wholesalers: Electronics and Office Equipment,WHOL,2025,4,-0.07567316504379416,1.5382139930753687,0,0,-2.0042580301507968e-17,2.0,-0.07498718924485369,0,0
INTC,Intel,Semiconductors and Other Electronic Components,SEMI,2025,4,-0.4053800543838768,2.9505715466853473,0,0,7.030671803846388e-17,3.0,-0.13036370358870192,0,0
JNJ,Johnson & Johnson,Pharmaceuticals,PHAR,2025,4,0.38040045826863644,1.017819068193303,0,0,3.149550218045948e-17,3.0,0.48608813673649853,0,0
JPM,JPMorgan Chase,Commercial Banks,COMM,2025,4,-0.01053108214708934,0.7702803293258037,0,0,-2.6307274604200504e-17,3.0,-0.031242095659145003,1,0
KR,Kroger,Food & Drug Stores,FOOD,2025,4,-0.09232887909379417,1.217025825015619,0,0,0.0,1.0,-0.13849097987272632,1,0
LLY,Eli Lilly,Pharmaceuticals,PHAR,2025,4,1.370839463760679,1.6755580645190598,0,0,-1.657840893626674e-16,1.0,0.48608813673649853,1,0
LMT,Lockheed Martin,Aerospace & Defense,AERO,2025,4,-0.3268321022895684,0.8762573633131382,0,0,1.7522408279455915e-17,3.0,-0.3848595988871921,1,0
MCK,McKesson,Wholesalers: Health Care,WHOL,2025,4,0.4248683407937799,1.2188142942175688,0,0,1.6309991884041466e-17,3.0,0.7326143517119618,0,0
MET,MetLife,"Insurance: Life, Health (Stock)",INSU,2025,4,-0.13887182059201822,1.1598894908412551,0,0,2.928904318087841e-17,2.0,0.09632284455103506,0,0
META,Meta,Internet Services and Retailing,INTE,2025,4,-0.707157030222258,3.0528364565914945,0,0,-1.3430882574063599e-16,3.0,0.08309295972087101,0,0
MPC,Marathon Petroleum,Petroleum Refining,PETR,2025,4,-0.09966048360544151,2.094279761179803,0,0,-1.1560382881512007e-17,4.0,-0.040423213953299494,0,0
MRK,Merck,Pharmaceuticals,PHAR,2025,4,0.8555176309325945,1.5213371550563048,0,0,2.960145004441987e-17,2.0,0.48608813673649853,1,0
MS,Morgan Stanley,Commercial Banks,COMM,2025,4,0.02210960978178084,0.8650130924152226,0,0,-5.4805216934657515e-17,2.0,-0.031242095659145003,1,0
MSFT,Microsoft,Computer Software,COMP,2025,4,-0.47362034100597755,1.3943784635704741,0,0,4.5845514899473355e-17,1.0,-1.0223334650081817,1,0
NKE,Nike,Apparel,APPA,2025,4,-0.31891557118046165,1.620247588051916,0,0,0.0,1.0,-0.31891557118046165,0,0
NVDA,Nvidia,Semiconductors and Other Electronic Components,SEMI,2025,4,-0.3138696558631577,2.85722478103948,0,0,7.526553282326548e-17,2.0,-0.13036370358870192,0,0
ORCL,Oracle,Computer Software,COMP,2025,4,-1.571046589010386,2.3673355583959332,0,0,7.609516067482606e-17,2.0,-1.0223334650081817,0,0
PAGP,Plains GP,Pipelines,PIPE,2025,4,0.28788347180083945,0.5957090504128546,0,0,-5.220077290594285e-17,1.0,0.16119364489349625,1,0
PEP,PepsiCo,Food Consumer Products,FOOD,2025,4,-0.19288220926285804,1.1470412442752238,0,0,0.0,1.0,-0.19288220926285804,0,0
PFGC,Performance Food,Wholesalers: Food and Grocery,WHOL,2025,4,-0.1419978761459565,1.1922171215931934,0,0,-5.911776230262944e-17,2.0,-0.12872202602256755,0,0
PFIZER.NS,Pfizer,Pharmaceuticals,PHAR,2025,4,-0.2677827508372283,0.8676164740636967,0,0,-6.469125330900765e-17,5.0,0.48608813673649853,0,0
PG,Procter & Gamble,Household and Personal Products,HOUS,2025,4,-0.09191374688781212,0.8858683160728206,0,0,3.55933630144828e-17,1.0,-0.09191374688781212,0,0
PGR,Progressive,Insurance: Property and Casualty (Stock),INSU,2025,4,0.21006509016644107,1.3789270280180341,0,0,-2.338809752969929e-17,4.0,0.3916016065897597,0,0
PRU,Prudential Financial,"Insurance: Life, Health (Stock)",INSU,2025,4,0.33151750969408833,0.8696992709861735,0,0,2.7096160892125864e-17,1.0,0.09632284455103506,1,0
PSX,Phillips 66,Petroleum Refining,PETR,2025,4,0.008379516049339857,1.5588195966099918,0,0,3.0789389751182635e-17,2.0,-0.040423213953299494,1,0
RTX,RTX,Aerospace & Defense,AERO,2025,4,-0.16119618706848388,0.7774870175687113,0,0,-2.237328834248891e-17,1.0,-0.3848595988871921,1,0
SNEX,StoneX,Diversified Financials,DIVE,2025,4,-0.40800248593621424,2.0374201571251147,0,0,1.547973421221502e-17,2.0,-0.40232973302746666,0,0
SNX,TD Synnex,Wholesalers: Electronics and Office Equipment,WHOL,2025,4,-0.07430121344591321,1.2282086561393546,0,0,5.665690995081134e-18,1.0,-0.07498718924485369,1,0
SYY,Sysco,Wholesalers: Food and Grocery,WHOL,2025,4,-0.11544617589917862,1.3481617401554633,0,0,1.6022410154553965e-17,1.0,-0.12872202602256755,1,0
TGT,Target,General Merchandisers,GENE,2025,4,-0.47465051061251146,1.5022048295282546,0,0,-4.074733052518635e-17,3.0,-0.1728850834561697,0,0
TILIX,TIAA,"Insurance: Life, Health (Mutual)",INSU,2025,4,-0.16678414631716,0.9651557568297436,0,0,-1.7524322078178402e-17,1.0,-0.20944866885596553,1,0
TJX,TJX,Specialty Retailers: Apparel,SPEC,2025,4,0.29867314939403095,0.9062849486988164,0,0,2.0783095013477555e-17,1.0,0.29867314939403095,0,0
TRV,Travelers,Insurance: Property and Casualty (Stock),INSU,2025,4,0.38220049125551897,1.0325901642742903,0,0,-2.0540246417075944e-17,3.0,0.3916016065897597,0,0
TSLA,Tesla,Motor Vehicles & Parts,MOTO,2025,4,-0.3033149906609244,2.95770435803856,0,0,-1.8806272437871642e-17,3.0,-0.012524640475883456,0,0
TSN,Tyson Foods,Food Production,FOOD,2025,4,0.44126937078314765,1.4317265462512918,0,0,-1.005178505566895e-17,1.0,0.1672559867523222,1,0
UAL,United Airlines,Airlines,AIRL,2025,4,0.05423487362558625,2.955452207440666,0,0,-2.5720808868612766e-17,3.0,0.09624115018175254,0,0
UIPMX,USAA,Insurance: Property and Casualty (Stock),INSU,2025,4,0.5311091383078311,1.8869294307759341,0,0,3.04787556223542e-17,1.0,0.3916016065897597,1,0
UNH,UnitedHealth,Health Care: Insurance and Managed Care,HEAL,2025,4,-0.5033274886287823,1.599373337458012,0,0,-5.4377944685122536e-17,4.0,0.08985936279496157,0,0
UPS,UPS,"Mail, Package and Freight Delivery",MAIL,2025,4,0.3689766464066438,3.031805673937799,0,0,3.429689395037067e-17,2.0,0.42295068185251095,0,0
VLO,Valero Energy,Petroleum Refining,PETR,2025,4,0.044380295124551015,1.70765302335004,0,0,1.908885676750239e-17,1.0,-0.040423213953299494,1,0
VZ,Verizon,Telecommunications,TELE,2025,4,0.1629092738566467,1.374812566577157,0,0,3.221116032744823e-17,1.0,-0.3203108087160399,1,0
WFC,Wells Fargo,Commercial Banks,COMM,2025,4,-0.07223771107720411,0.6671478985527735,0,0,1.5946651596505508e-17,5.0,-0.031242095659145003,0,0
WMT,Walmart,General Merchandisers,GENE,2025,4,0.12154018091905999,0.8393213915410715,0,0,1.2480252070003756e-17,1.0,-0.1728850834561697,1,0
X1G.PA,Lowe's,Specialty Retailers: Other,SPEC,2025,4,0.0016570648572932223,0.09290677068139641,0,0,4.397201017597912e-18,1.0,-0.20067695415760775,1,0
XOM,Exxon Mobil,Petroleum Refining,PETR,2025,4,-0.010900224385603462,0.980020259452533,0,0,0.0,3.0,-0.040423213953299494,1,0
