rank,company,industry,City,State,Zip Code,Website,employees,revenue (rounded),CEO,ticker
70,Delta Airlines,Airlines,Atlanta,Georgia,30354,delta.com,"103,000","$61,600,000,000",Edward Bastian,DAL
71,Publix Super Markets,Food & Drug Stores,Lakeland,Florida,33811,publix.com,"255,000","$60,200,000,000",Kevin Murphy,
72,Nationwide,Insurance: Property and Casualty (Mutual),Columbus,Ohio,43215,nationwide.com,"22,500","$58,600,000,000",Kirt Walker,NATWIDE.KL
73,TD Synnex,Wholesalers: Electronics and Office Equipment,Fremont,California,94538,tdsynnex.com,"25,800","$58,500,000,000",Patrick Zammit,SNX
74,United Airlines,Airlines,Chicago,Illinois,60606,united.com,"107,300","$57,100,000,000",Scott Kirby,UAL
75,ConocoPhillips,"Mining, Crude-Oil Production",Houston,Texas,77079,conocophillips.com,"11,800","$57,000,000,000",Ryan Lance,COP
76,TJX,Specialty Retailers: Apparel,Framingham,Massachusetts,1701,tjx.com,"364,000","$56,400,000,000",Ernie Herrman,TJX
77,AbbVie,Pharmaceuticals,North Chicago,Illinois,60064,abbvie.com,"55,000","$56,300,000,000",Robert Michael,ABBV
78,Enterprise Products Partners,Pipelines,Houston,Texas,77002,enterpriseproducts.com,"7,800","$56,200,000,000",James Teague,EPD
79,Charter Communications,Telecommunications,Stamford,Connecticut,6902,charter.com,"94,500","$55,100,000,000",Christopher Winfrey,CHTR
80,Performance Food,Wholesalers: Food and Grocery,Richmond,Virginia,23238,pfgc.com,"36,800","$54,700,000,000",George Holm,PFGC
81,American Airlines,Airlines,Fort Worth,Texas,76155,aa.com,"133,300","$54,200,000,000",Robert Isom,AAL
82,Capital One,Commercial Banks,McLean,Virginia,22102,capitalone.com,"52,600","$53,900,000,000",Richard Fairbank,VALC.TA
83,Cisco Systems,Network and Other Communications Equipment,San Jose,California,95134,cisco.com,"90,400","$53,800,000,000",Charles Robbins,CSCO
84,HP,"Computers, Office Equipment",Palo Alto,California,94304,hp.com,"58,000","$53,600,000,000",Enrique Lores,HP
85,Tyson Foods,Food Production,Springdale,Arkansas,72762,tysonfoods.com,"138,000","$53,300,000,000",Donnie King,TSN
86,Intel,Semiconductors and Other Electronic Components,Santa Clara,California,95054,intel.com,"108,900","$53,100,000,000",Lip-Bu Tan,INTC
87,Oracle,Computer Software,Austin,Texas,78741,oracle.com,"159,000","$53,000,000,000",Safra Catz,ORCL
88,Broadcom,Semiconductors and Other Electronic Components,Palo Alto,California,94304,broadcom.com,"37,000","$52,400,000,000",Hock Tan,AVGO
89,Deere,Construction and Farm Machinery,Moline,Illinois,61265,deere.com,"55,500","$51,700,000,000",John May,DE
90,Nike,Apparel,Beaverton,Oregon,97005,nike.com,"79,400","$51,400,000,000",Elliott Hill,NKE
91,Liberty Mutual Insurance,Insurance: Property and Casualty (Stock),Boston,Massachusetts,2116,libertymutual.com,"40,000","$50,400,000,000",Timothy Sweeney,
92,Plains GP,Pipelines,Houston,Texas,77002,plains.com,"4,200","$50,100,000,000",Wilfred Chiang,PAGP
93,USAA,Insurance: Property and Casualty (Stock),San Antonio,Texas,78288,usaa.com,"38,000","$48,600,000,000",Juan Andrade,UIPMX
94,Bristol-Myers Squibb,Pharmaceuticals,Princeton,New Jersey,8543,bms.com,"34,100","$48,300,000,000",Christopher Boerner,
95,Ingram Micro,Wholesalers: Electronics and Office Equipment,Irvine,California,92612,ingrammicro.com,"26,100","$48,000,000,000",Paul Bay,INGM
96,General Dynamics,Aerospace & Defense,Reston,Virginia,20190,gd.com,"117,000","$47,700,000,000",Phebe Novakovic,GD
97,Coca-Cola,Beverages,Atlanta,Georgia,30313,coca-colacompany.com,"69,700","$47,100,000,000",James Quincey,COLA.WA
98,TIAA,"Insurance: Life, Health (Mutual)",New York,New York,10017,tiaa.org,"15,600","$46,900,000,000",Thasunda Brown Duckett,TILIX
99,Travelers,Insurance: Property and Casualty (Stock),New York,New York,10017,travelers.com,"34,000","$46,400,000,000",Alan Schnitzer,TRV
100,Eli Lilly,Pharmaceuticals,Indianapolis,Indiana,46285,lilly.com,"47,000","$45,000,000,000",David Ricks,LLY
